,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
190,Kyle Juszczyk,30,SFO,FB,17,16,8,22,1,3,50.0,6,2.8,1.3,0.5,0,PB,JuszKy00
191,D.J. Moore,24,CAR,WR,17,17,8,48,0,4,75.0,14,6.0,2.8,0.5,1,,MoorD.00
192,La'Mical Perine,23,NYJ,RB,4,0,8,31,0,1,25.0,14,3.9,7.8,2.0,0,,PeriLa00
193,Robert Woods,29,LAR,WR,9,9,8,46,1,1,50.0,16,5.8,5.1,0.9,0,,WoodRo02
194,Jamal Agnew,26,JAX,WR,10,2,7,111,1,3,85.7,66,15.9,11.1,0.7,1,,AgneJa00
195,Brandon Allen,29,CIN,QB,6,1,7,-1,0,1,14.3,3,-0.1,-0.2,1.2,1,,AlleBr00
196,Braxton Berrios,26,NYJ,WR,16,1,7,40,2,3,85.7,11,5.7,2.5,0.4,1,AP-1,BerrBr00
197,Ja'Marr Chase,21,CIN,WR,17,17,7,21,0,2,42.9,10,3.0,1.2,0.4,2,PBAP-2AP ORoY-1,ChasJa00
198,Devin Duvernay,24,BAL,WR,16,7,7,50,0,4,42.9,19,7.1,3.1,0.4,1,PBAP-1,DuveDe00
199,Demetric Felton,23,CLE,WR,16,2,7,24,0,0,28.6,12,3.4,1.5,0.4,4,,FeltDe00
200,Mike Glennon,32,NYG,QB,6,4,7,33,1,2,57.1,13,4.7,5.5,1.2,6,,GlenMi00
201,Jalen Guyton,24,LAC,WR,16,2,7,34,0,2,28.6,21,4.9,2.1,0.4,1,,GuytJa01
202,C.J. Ham,28,MIN,FB,17,8,7,34,0,3,42.9,30,4.9,2.0,0.4,0,,HamxC.00
203,Amon-Ra St. Brown,22,DET,WR,17,9,7,61,1,2,42.9,26,8.7,3.6,0.4,0,,StxxAm00
204,P.J. Walker,26,CAR,QB,5,1,7,13,0,2,42.9,13,1.9,2.6,1.4,3,,WalkPh00
205,Justin Jefferson,22,MIN,WR,17,17,6,14,0,1,33.3,11,2.3,0.8,0.4,1,PBAP-2,JeffJu00
206,Jarvis Landry,29,CLE,WR,12,12,6,40,2,4,83.3,16,6.7,3.3,0.5,3,,LandJa00
207,Darnell Mooney,24,CHI,WR,17,14,6,32,1,2,33.3,15,5.3,1.9,0.4,0,,MoonDa00
208,Scottie Phillips,24,HOU,RB,3,0,6,13,0,1,33.3,4,2.2,4.3,2.0,0,,PhilSc01
209,Anthony Schwartz,21,CLE,WR,14,2,6,39,0,4,66.7,17,6.5,2.8,0.4,0,,SchwAn00
210,Logan Woodside,26,TEN,QB,5,0,6,-6,0,0,0.0,-1,-1.0,-1.2,1.2,0,,WoodLo00
211,Brandon Aiyuk,23,SFO,WR,17,16,5,17,0,0,40.0,8,3.4,1.0,0.3,2,,AiyuBr00
212,Cam Akers,22,LAR,RB,1,0,5,3,0,0,0.0,2,0.6,3.0,5.0,0,,AkerCa00
213,Alex Armah,27,NOR,FB,9,2,5,21,0,4,80.0,9,4.2,2.3,0.6,0,,ArmaAl00
214,Jakeem Grant,29,2TM,WR,15,0,5,33,0,2,60.0,13,6.6,2.2,0.3,3,PBAP-2,GranJa00
214,Jakeem Grant,29,MIA,WR,4,0,0,0,0,0,,,,0.0,0.0,2,,GranJa00
214,Jakeem Grant,29,CHI,WR,11,0,5,33,0,2,60.0,13,6.6,3.0,0.5,1,,GranJa00
215,Deonte Harty,24,NOR,WR,13,1,5,41,0,1,60.0,22,8.2,3.2,0.4,2,,HarrDe07
216,Buddy Howell,25,LAR,RB,10,0,5,11,0,0,0.0,4,2.2,1.1,0.5,0,,HoweGr00
217,Diontae Johnson,25,PIT,WR,16,14,5,53,0,2,80.0,25,10.6,3.3,0.3,2,PB,JohnDi01
218,Elijah Moore,21,NYJ,WR,11,6,5,54,1,3,100.0,19,10.8,4.9,0.5,0,,MoorEl00
219,Michael Pittman Jr.,24,IND,WR,17,17,5,44,0,1,40.0,25,8.8,2.6,0.3,1,,PittMi01
220,Mason Rudolph,26,PIT,QB,2,1,5,53,0,3,60.0,26,10.6,26.5,2.5,1,,RudoMa00
221,Jaylen Samuels,25,HOU,RB,3,0,5,9,0,0,0.0,3,1.8,3.0,1.7,0,,SamuJa00
222,Wendell Smallwood,27,WAS,RB,3,0,5,25,0,2,60.0,13,5.0,8.3,1.7,0,,SmalWe00
223,Freddie Swain,23,SEA,WR,17,8,5,32,0,2,60.0,11,6.4,1.9,0.3,1,,SwaiFr00
224,Mike White,26,NYJ,QB,4,3,5,-1,0,2,40.0,2,-0.2,-0.3,1.3,0,,WhitMi01
225,Mekhi Sargent,24,3TM,RB,7,0,5,11,0,1,20.0,3,2.2,1.6,0.7,0,,SargMe00
225,Mekhi Sargent,24,TEN,RB,3,0,2,4,0,1,50.0,2,2.0,1.3,0.7,0,,SargMe00
225,Mekhi Sargent,24,LAR,RB,3,0,2,5,0,0,0.0,3,2.5,1.7,0.7,0,,SargMe00
225,Mekhi Sargent,24,JAX,RB,1,0,1,2,0,0,0.0,2,2.0,2.0,1.0,0,,SargMe00
226,Kenjon Barner,32,TAM,RB,3,0,4,0,0,0,0.0,,0.0,0.0,1.3,0,,BarnKe00
227,Blake Bell,30,KAN,TE,16,5,4,10,0,4,100.0,3,2.5,0.6,0.3,0,,BellBl00
228,Mike Boone,26,DEN,RB,8,0,4,35,0,2,50.0,16,8.8,4.4,0.5,0,,BoonMi00
229,D'Wayne Eskridge,24,SEA,WR,10,0,4,59,0,2,100.0,30,14.8,5.9,0.4,0,,EskrDW00
230,Nick Foles,32,CHI,QB,1,1,4,8,0,1,50.0,8,2.0,8.0,4.0,1,,FoleNi00
231,Chris Godwin,25,TAM,WR,14,14,4,21,1,4,100.0,9,5.3,1.5,0.3,2,,GodwCh00
232,JaQuan Hardy,24,DAL,RB,3,0,4,29,1,1,50.0,22,7.3,9.7,1.3,0,,HardJa01
233,Cooper Kupp,28,LAR,WR,17,17,4,18,0,1,50.0,18,4.5,1.1,0.2,0,PBAP-1AP MVP-3AP OPoY-1,KuppCo00
234,Kalif Raymond,27,DET,WR,16,14,4,28,0,2,75.0,13,7.0,1.8,0.3,0,,RaymKa00
235,Curtis Samuel,25,WAS,WR,5,1,4,11,0,0,50.0,8,2.8,2.2,0.8,0,,SamuCu00
236,Dwayne Washington,27,NOR,RB,14,0,4,16,0,0,50.0,5,4.0,1.1,0.3,0,,WashDw00
237,Albert Wilson,29,MIA,WR,14,5,4,17,0,1,50.0,14,4.3,1.2,0.3,0,,WilsAl02
238,Nelson Agholor,28,NWE,WR,15,13,3,11,0,0,33.3,6,3.7,0.7,0.2,0,,AghoNe00
239,Tavon Austin,31,JAX,WR,13,3,3,21,0,1,100.0,8,7.0,1.6,0.2,1,,AustTa00
240,Khari Blasingame,25,TEN,RB,11,3,3,6,0,1,33.3,3,2.0,0.5,0.3,1,,BlasKh00
241,Ian Book,23,NOR,QB,1,1,3,6,0,1,33.3,3,2.0,6.0,3.0,0,,BookIa00
242,Jason Cabinda,25,DET,LB,14,4,3,23,0,2,66.7,21,7.7,1.6,0.2,0,,CabiJa00
243,Robbie Chosen,28,CAR,WR,17,16,3,36,0,1,66.7,30,12.0,2.1,0.2,0,,AndeRo04
244,Damarea Crockett,24,DEN,RB,12,0,3,7,0,0,33.3,6,2.3,0.6,0.3,0,,CrocDa01
245,Ashton Dulin,24,IND,WR,17,1,3,32,0,1,33.3,37,10.7,1.9,0.2,0,AP-2,DuliAs00
246,Sam Ehlinger,23,IND,QB,3,0,3,9,0,1,66.7,9,3.0,3.0,1.0,0,,EhliSa00
247,Gerald Everett,27,SEA,TE,15,12,3,20,0,2,66.7,13,6.7,1.3,0.2,2,,EverGe00
248,Feleipe Franks,24,ATL,QB,9,0,3,6,0,0,0.0,4,2.0,0.7,0.3,0,,FranFe00
249,Reggie Gilliam,24,BUF,FB,16,5,3,3,0,0,0.0,2,1.0,0.2,0.2,0,,GillRe00
250,George Kittle,28,SFO,TE,14,14,3,20,0,0,100.0,9,6.7,1.4,0.2,2,PB,KittGe00
251,Allen Lazard,26,GNB,WR,15,13,3,32,0,2,100.0,14,10.7,2.1,0.2,0,,LazaAl00
252,Anthony McFarland Jr.,23,PIT,RB,2,0,3,3,0,0,0.0,3,1.0,1.5,1.5,0,,McFaAn00
253,Gabe Nabers,24,LAC,FB,10,1,3,8,0,1,66.7,4,2.7,0.8,0.3,0,,NabeGa00
254,Adam Prentice,24,NOR,FB,7,3,3,5,0,2,66.7,2,1.7,0.7,0.4,0,,PrenAd00
255,Hunter Renfrow,26,LVR,WR,17,9,3,3,0,0,33.3,5,1.0,0.2,0.2,5,PB,RenfHu00
256,Andre Roberts,33,2TM,WR,16,0,3,19,0,0,100.0,9,6.3,1.2,0.2,3,AP-2,RobeAn00
256,Andre Roberts,33,HOU,WR,6,0,0,0,0,0,,,,0.0,0.0,2,,RobeAn00
256,Andre Roberts,33,LAC,WR,10,0,3,19,0,0,100.0,9,6.3,1.9,0.3,1,,RobeAn00
257,Henry Ruggs III,22,LVR,WR,7,7,3,16,0,0,100.0,7,5.3,2.3,0.4,0,,RuggHe00
258,JuJu Smith-Schuster,25,PIT,WR,5,5,3,9,1,1,33.3,3,3.0,1.8,0.6,0,,SmitJu00
259,Equanimeous St. Brown,25,GNB,WR,13,2,3,14,0,2,66.7,13,4.7,1.1,0.2,0,,St.BEq00
260,Johnny Stanton,27,CLE,RB,4,0,3,5,0,2,66.7,3,1.7,1.3,0.8,0,,StanJo02
261,Chris Streveler,26,ARI,QB,2,0,3,6,0,0,0.0,4,2.0,3.0,1.5,1,,StreCh00
262,Kadarius Toney,22,NYG,WR,10,4,3,6,0,0,0.0,7,2.0,0.6,0.3,0,,ToneKa00
263,Tommy Tremble,21,CAR,TE,16,11,3,11,1,1,66.7,7,3.7,0.7,0.2,0,,TremTo00
264,Trenton Cannon,27,2TM,RB,12,0,3,4,0,0,33.3,3,1.3,0.3,0.3,1,,CannTr00
264,Trenton Cannon,27,BAL,RB,1,0,2,5,0,0,50.0,3,2.5,5.0,2.0,0,,CannTr00
264,Trenton Cannon,27,SFO,RB,11,0,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,1,,CannTr00
265,Kyle Allen,25,WAS,QB,2,0,2,11,0,1,50.0,11,5.5,5.5,1.0,1,,AlleKy00
266,Cameron Batson,26,TEN,WR,4,0,2,15,0,1,100.0,11,7.5,3.8,0.5,0,,BatsCa00
267,Odell Beckham Jr.,29,2TM,WR,14,13,2,14,0,1,50.0,10,7.0,1.0,0.1,0,,BeckOd00
267,Odell Beckham Jr.,29,CLE,WR,6,6,2,14,0,1,50.0,10,7.0,2.3,0.3,0,,BeckOd00
267,Odell Beckham Jr.,29,LAR,WR,8,7,0,0,0,0,,,,0.0,0.0,0,,BeckOd00
268,Kurt Benkert,26,GNB,QB,1,0,2,-1,0,0,0.0,,-0.5,-1.0,2.0,0,,BenkKu01
269,Tyler Boyd,27,CIN,WR,16,10,2,22,0,1,100.0,14,11.0,1.4,0.1,1,,BoydTy00
270,Tim Boyle,27,DET,QB,5,3,2,13,0,1,50.0,14,6.5,2.6,0.4,1,,BoylTi00
271,A.J. Brown,24,TEN,WR,13,13,2,10,0,1,50.0,7,5.0,0.8,0.2,0,,BrowAJ00
272,Brandin Cooks,28,HOU,WR,16,16,2,21,0,1,100.0,16,10.5,1.3,0.1,0,,CookBr00
273,Chase Daniel,35,LAC,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,DaniCh00
274,Darrynton Evans,23,TEN,RB,1,0,2,7,0,0,0.0,5,3.5,7.0,2.0,0,,EvanDa02
275,Joe Flacco,36,NYJ,QB,2,1,2,3,0,1,50.0,2,1.5,1.5,1.0,1,,FlacJo00
276,Jake Funk,23,LAR,RB,10,0,2,5,0,0,50.0,6,2.5,0.5,0.2,0,,FunkJa00
277,Marquise Goodwin,31,CHI,WR,14,2,2,-1,0,0,0.0,1,-0.5,-0.1,0.1,1,,GoodMa00
278,Alec Ingold,25,LVR,FB,9,3,2,1,0,1,50.0,1,0.5,0.1,0.2,0,,IngoAl01
279,Andy Janovich,28,CLE,RB,13,3,2,0,1,1,50.0,,0.0,0.0,0.2,0,,JanoAn00
280,Van Jefferson,25,LAR,WR,17,17,2,20,0,1,100.0,10,10.0,1.2,0.1,0,,JeffVa00
281,Jerry Jeudy,22,DEN,WR,10,5,2,3,0,0,0.0,3,1.5,0.3,0.2,1,,JeudJe00
282,Marcus Johnson,27,TEN,WR,7,3,2,-2,0,1,50.0,5,-1.0,-0.3,0.3,0,,JohnMa07
283,Zay Jones,26,LVR,WR,17,9,2,3,0,0,50.0,4,1.5,0.2,0.1,1,,JoneZa00
284,Travis Kelce,32,KAN,TE,16,16,2,3,1,1,50.0,4,1.5,0.2,0.1,1,PBAP-2,KelcTr00
285,John Kelly,25,CLE,RB,4,0,2,13,0,1,50.0,11,6.5,3.3,0.5,0,,KellJo00
286,Dallin Leavitt,27,LVR,DB,16,1,2,6,0,2,100.0,4,3.0,0.4,0.1,0,,LeavDa00
287,Tyler Lockett,29,SEA,WR,16,16,2,9,0,0,50.0,7,4.5,0.6,0.1,0,,LockTy00
288,Sean Mannion,29,MIN,QB,1,1,2,14,0,2,100.0,11,7.0,14.0,2.0,0,,MannSe00
289,Ray-Ray McCloud,25,PIT,WR,16,5,2,15,0,0,100.0,10,7.5,0.9,0.1,4,,McClRa00
290,Scott Miller,24,TAM,WR,9,0,2,43,1,2,100.0,33,21.5,4.8,0.2,0,,MillSc01
291,Raheem Mostert,29,SFO,RB,1,1,2,20,0,1,100.0,11,10.0,20.0,2.0,0,,MostRa00
292,Zach Pascal,27,IND,WR,16,13,2,21,0,0,100.0,12,10.5,1.3,0.1,1,,PascZa00
293,Jacques Patrick,24,SFO,RB,2,0,2,12,0,1,100.0,8,6.0,6.0,1.0,0,,PatrJa01
294,Nathan Peterman,27,LVR,QB,1,0,2,2,0,1,50.0,1,1.0,2.0,2.0,0,,PeteNa00
295,Patrick Ricard,27,BAL,FB,13,11,2,4,0,2,100.0,2,2.0,0.3,0.2,0,PB,RicaPa00
296,Emmanuel Sanders,34,BUF,WR,14,13,2,31,0,2,100.0,24,15.5,2.2,0.1,0,,SandEm00
297,Durham Smythe,26,MIA,TE,17,12,2,3,0,2,100.0,2,1.5,0.2,0.1,0,,SmytDu00
298,Jaylen Waddle,23,MIA,WR,16,16,2,3,1,1,50.0,2,1.5,0.2,0.1,2,,WaddJa00
299,James Washington,25,PIT,WR,15,2,2,13,0,0,50.0,12,6.5,0.9,0.1,0,,WashJa00
300,Davis Webb,26,BUF,QB,1,0,2,-3,0,0,0.0,-1,-1.5,-3.0,2.0,0,,WebbDa00
301,Cedrick Wilson Jr.,26,DAL,WR,16,4,2,11,0,1,50.0,6,5.5,0.7,0.1,3,,WilsCe01
302,John Wolford,26,LAR,QB,3,0,2,-1,0,0,0.0,,-0.5,-0.3,0.7,0,,WolfJo00
303,Jordan Akins,29,HOU,TE,13,3,1,3,0,1,100.0,3,3.0,0.2,0.1,2,,AkinJo00
304,Mark Andrews,26,BAL,TE,17,9,1,0,0,0,0.0,,0.0,0.0,0.1,1,PBAP-1,AndrMa00
305,Alex Bachman,25,NYG,WR,3,0,1,-3,0,0,0.0,-3,-3.0,-1.0,0.3,0,,BachAl00
306,C.J. Beathard,28,JAX,QB,2,0,1,2,0,0,0.0,2,2.0,1.0,0.5,0,,BeatC.00
307,David Blough,26,DET,QB,1,0,1,6,0,0,100.0,6,6.0,6.0,1.0,1,,BlouDa00
308,C.J. Board,28,NYG,WR,6,1,1,6,0,0,100.0,6,6.0,1.0,0.2,0,,BoarC.00
309,Reggie Bonnafon,25,CAR,RB,4,0,1,4,0,0,100.0,4,4.0,1.0,0.3,0,,BonnRe00
310,Gary Brightwell,22,NYG,RB,13,0,1,4,0,0,100.0,4,4.0,0.3,0.1,0,,BrigGa00
311,Antonio Brown,33,TAM,WR,7,3,1,6,0,0,100.0,6,6.0,0.9,0.1,0,,BrowAn04
312,Dyami Brown,22,WAS,WR,15,6,1,-4,0,0,0.0,-4,-4.0,-0.3,0.1,0,,BrowDy00
313,Marquise Brown,24,BAL,WR,16,16,1,5,0,1,100.0,5,5.0,0.3,0.1,3,,BrowMa04
314,Sean Chandler,25,CAR,SS,15,7,1,14,0,1,100.0,14,14.0,0.9,0.1,0,,ChanSe00
315,Randall Cobb,31,GNB,WR,12,3,1,1,0,0,0.0,1,1.0,0.1,0.1,1,,CobbRa00
316,Chris Conley,29,HOU,WR,16,10,1,3,0,1,100.0,3,3.0,0.2,0.1,1,,ConlCh00
317,Pharoh Cooper,26,NYG,WR,8,0,1,3,0,0,0.0,3,3.0,0.4,0.1,0,,CoopPh00
318,Nathan Cottrell,25,JAX,RB,4,0,1,3,0,0,0.0,3,3.0,0.8,0.3,0,,CottNa00
319,Jaelon Darden,22,TAM,WR,9,0,1,11,0,1,100.0,11,11.0,1.2,0.1,0,,DardJa00
320,Phillip Dorsett,28,3TM,WR,6,0,1,0,0,0,0.0,,0.0,0.0,0.2,0,,DorsPh00
320,Phillip Dorsett,28,JAX,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,DorsPh00
320,Phillip Dorsett,28,SEA,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,DorsPh00
320,Phillip Dorsett,28,HOU,WR,3,0,1,0,0,0,0.0,,0.0,0.0,0.3,0,,DorsPh00
321,Greg Dortch,23,ARI,WR,5,2,1,24,0,1,100.0,24,24.0,4.8,0.2,0,,DortGr01
322,Eric Ebron,28,PIT,TE,8,3,1,1,1,1,100.0,1,1.0,0.1,0.1,0,,EbroEr00
323,Bryan Edwards,23,LVR,WR,16,12,1,0,0,0,0.0,,0.0,0.0,0.1,1,,EdwaBr01
324,Evan Engram,27,NYG,TE,15,12,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,1,,EngrEv00
325,Zach Ertz,31,2TM,TE,17,14,1,4,0,0,100.0,4,4.0,0.2,0.1,0,,ErtzZa00
325,Zach Ertz,31,PHI,TE,6,3,0,0,0,0,,,,0.0,0.0,0,,ErtzZa00
325,Zach Ertz,31,ARI,TE,11,11,1,4,0,0,100.0,4,4.0,0.4,0.1,0,,ErtzZa00
326,Mike Evans,28,TAM,WR,16,16,1,10,0,1,100.0,10,10.0,0.6,0.1,0,PB,EvanMi00
327,Clayton Fejedelem,28,MIA,DB,17,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,FejeCl00
328,Maurice Ffrench,23,LAC,WR,3,0,1,3,0,0,0.0,3,3.0,1.0,0.3,0,,FfreMa00
329,Ryan Fitzpatrick,39,WAS,QB,1,1,1,2,0,0,0.0,2,2.0,2.0,1.0,1,,FitzRy00
330,Jamie Gillan,24,CLE,P,12,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,GillJa00
331,Cyril Grayson,28,TAM,WR,5,3,1,14,0,1,100.0,14,14.0,2.8,0.2,0,,GrayCy01
332,Johnny Hekker,31,LAR,P,17,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,HekkJo00
333,DeSean Jackson,35,2TM,WR,16,4,1,4,0,0,100.0,4,4.0,0.3,0.1,1,,JackDe00
333,DeSean Jackson,35,LAR,WR,7,0,0,0,0,0,,,,0.0,0.0,0,,JackDe00
333,DeSean Jackson,35,LVR,WR,9,4,1,4,0,0,100.0,4,4.0,0.4,0.1,1,,JackDe00
334,Christian Kirk,25,ARI,WR,17,11,1,11,0,1,100.0,11,11.0,0.6,0.1,0,,KirkCh01
335,Cole Kmet,22,CHI,TE,17,17,1,0,0,0,0.0,,0.0,0.0,0.1,0,,KmetCo00
336,Patrick Laird,26,MIA,RB,6,0,1,4,0,0,100.0,4,4.0,0.7,0.2,0,,LairPa00
337,Andy Lee,39,ARI,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,3,,LeexAn20
338,Braden Mann,24,NYJ,P,10,0,1,4,0,0,0.0,4,4.0,0.4,0.1,0,,MannBr01
339,Nate McCrary,22,BAL,RB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,,McCrNa00
340,Terry McLaurin,26,WAS,WR,17,17,1,12,0,1,100.0,12,12.0,0.7,0.1,0,,McLaTe00
341,D.K. Metcalf,24,SEA,WR,17,17,1,6,0,0,100.0,6,6.0,0.4,0.1,1,,MetcDK00
342,Jakobi Meyers,25,NWE,WR,17,16,1,9,0,0,100.0,9,9.0,0.5,0.1,1,,MeyeJa01
343,Dax Milne,22,WAS,WR,13,1,1,1,0,0,0.0,1,1.0,0.1,0.1,1,,MilnDa00
344,C.J. Moore,26,DET,DB,17,1,1,28,0,1,100.0,28,28.0,1.6,0.1,0,,MoorCJ01
345,Stanley Morgan Jr.,25,CIN,WR,17,1,1,3,0,0,100.0,3,3.0,0.2,0.1,0,,MorgSt02
346,Ryan Nall,26,CHI,RB,9,0,1,4,0,0,100.0,4,4.0,0.4,0.1,0,,NallRy00
347,David Njoku,25,CLE,TE,16,11,1,1,0,0,0.0,1,1.0,0.1,0.1,0,,NjokDa00
348,Gunner Olszewski,25,NWE,WR,16,0,1,9,0,0,100.0,9,9.0,0.6,0.1,3,,OlszGu00
349,K.J. Osborn,24,MIN,WR,17,9,1,10,0,1,100.0,10,10.0,0.6,0.1,0,,OsboKJ00
350,Devine Ozigbo,25,NOR,RB,2,0,1,-3,0,0,0.0,-3,-3.0,-1.5,0.5,0,,OzigDe01
351,Michael Palardy,29,MIA,P,17,0,1,1,0,0,0.0,1,1.0,0.1,0.1,0,,PalaMi00
352,Josh Palmer,22,LAC,WR,17,5,1,6,0,0,100.0,6,6.0,0.4,0.1,0,,PalmJo00
353,Breshad Perriman,28,TAM,WR,6,0,1,-3,0,0,0.0,-3,-3.0,-0.5,0.2,0,,PerrBr02
354,Trey Ragas,25,LVR,RB,1,0,1,9,0,1,100.0,9,9.0,9.0,1.0,0,,RagaTr00
355,Amari Rodgers,22,GNB,WR,16,1,1,11,0,1,100.0,11,11.0,0.7,0.1,2,,RodgAm00
356,Chester Rogers,27,TEN,WR,16,2,1,9,0,0,100.0,9,9.0,0.6,0.1,4,,RogeCh02
357,John Ross,26,NYG,WR,10,1,1,16,0,1,100.0,16,16.0,1.6,0.1,1,,RossJo00
358,Sterling Shepard,28,NYG,WR,7,6,1,-9,0,0,0.0,-9,-9.0,-1.3,0.1,0,,ShepSt00
359,Cam Sims,25,WAS,WR,14,3,1,7,0,0,100.0,7,7.0,0.5,0.1,0,,SimsCa00
360,Darius Slayton,24,NYG,WR,13,5,1,-13,0,0,0.0,-13,-13.0,-1.0,0.1,1,,SlayDa01
361,Ito Smith,26,DAL,RB,1,0,1,4,1,1,100.0,4,4.0,4.0,1.0,0,,SmitIt00
362,Jeff Smith,24,NYJ,WR,12,3,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,0,,SmitJe03
363,Shi Smith,23,CAR,WR,6,0,1,-3,0,0,0.0,-3,-3.0,-0.5,0.2,0,,SmitSh03
364,Tremon Smith,25,HOU,DB,17,2,1,7,0,0,100.0,7,7.0,0.4,0.1,0,,SmitTr04
365,Kenny Stills,29,NOR,WR,13,4,1,1,0,0,0.0,1,1.0,0.1,0.1,0,,StilKe00
366,Adam Thielen,31,MIN,WR,13,13,1,2,0,0,0.0,2,2.0,0.2,0.1,1,,ThieAd00
367,Quez Watkins,23,PHI,WR,17,12,1,3,0,0,0.0,3,3.0,0.2,0.1,0,,WatkQu00
368,Derek Watt,29,PIT,FB,17,4,1,1,0,1,100.0,1,1.0,0.1,0.1,0,,WattDe00
369,Preston Williams,24,MIA,WR,8,3,1,7,0,0,100.0,7,7.0,0.9,0.1,0,,WillPr01
370,Andrew Wingard,25,JAX,SS,15,15,1,4,0,1,100.0,4,4.0,0.3,0.1,0,,WingAn01
371,Olamide Zaccheaus,24,ATL,WR,17,8,1,2,0,1,100.0,2,2.0,0.1,0.1,0,,ZaccOl01
372,Davante Adams,29,GNB,WR,16,16,0,0,0,0,,,,0.0,0.0,0,PBAP-1,AdamDa01
373,Rodney Adams,27,CHI,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,AdamRo01
374,Mo Alie-Cox,28,IND,TE,17,7,0,0,0,0,,,,0.0,0.0,1,,AlieMo00
375,Keenan Allen,29,LAC,WR,16,16,0,0,0,0,,,,0.0,0.0,1,PB,AlleKe00
376,Geronimo Allison,27,DET,WR,3,1,0,0,0,0,,,,0.0,0.0,0,,AlliGe01
377,Danny Amendola,36,HOU,WR,8,0,0,0,0,0,,,,0.0,0.0,1,,AmenDa00
378,Stephen Anderson,28,LAC,TE,17,4,0,0,0,0,,,,0.0,0.0,0,,AndeSt01
379,JJ Arcega-Whiteside,25,PHI,WR,16,2,0,0,0,0,,,,0.0,0.0,0,,ArceJJ00
380,Dan Arnold,26,2TM,WR,11,4,0,0,0,0,,,,0.0,0.0,1,,ArnoDa00
380,Dan Arnold,26,CAR,WR,3,1,0,0,0,0,,,,0.0,0.0,0,,ArnoDa00
380,Dan Arnold,26,JAX,WR,8,3,0,0,0,0,,,,0.0,0.0,1,,ArnoDa00
381,Antony Auclair,28,HOU,TE,16,13,0,0,0,0,,,,0.0,0.0,0,,AuclAn00
382,Rashod Bateman,22,BAL,WR,12,4,0,0,0,0,,,,0.0,0.0,0,,BateRa00
383,John Bates,24,WAS,TE,17,8,0,0,0,0,,,,0.0,0.0,1,,BateJo00
384,Nick Bawden,25,NYJ,RB,9,1,0,0,0,0,,,,0.0,0.0,0,,BawdNi00
385,Cole Beasley,32,BUF,WR,16,8,0,0,0,0,,,,0.0,0.0,1,,BeasCo00
386,Nick Bellore,32,SEA,LB,17,0,0,0,0,0,,,,0.0,0.0,0,,BellNi01
387,Travis Benjamin,32,SFO,WR,10,0,0,0,0,0,,,,0.0,0.0,1,,BenjTr00
388,Trinity Benson,24,DET,WR,8,2,0,0,0,0,,,,0.0,0.0,0,,BensTr00
389,Tarik Black,23,NYJ,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,BlacTa00
390,Christian Blake,25,ATL,WR,16,0,0,0,0,0,,,,0.0,0.0,0,,BlakCh00
